idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,savings,present_employment_since,installment_as_income_perc,marriage,other_debtors,property,age_in_years,age>25,age>35,other_installment_plans,housing,number_of_existing_credits_at_this_bank,telephone,foreign_worker,job
1,0,0,0,6,5,1169,4,4,4,0,4,0,67,1,1,2,1,2,1,0,2
2,1,1,1,48,3,5951,0,2,2,1,2,0,22,1,1,2,1,1,0,0,2
3,0,0,3,12,5,2096,0,3,2,0,3,0,49,0,0,2,1,1,0,0,1
4,0,0,0,42,3,7882,0,3,2,0,4,1,45,1,1,2,2,1,0,0,2
5,1,0,0,24,4,4870,0,2,3,0,4,3,53,1,1,2,2,2,0,0,2
6,0,0,3,36,3,9055,4,2,2,0,4,3,35,1,1,2,2,1,1,0,1
7,0,0,3,24,3,2835,2,4,3,0,4,1,53,1,0,2,1,1,0,0,2
8,0,0,1,36,3,6948,0,2,2,0,2,2,35,1,1,2,0,1,1,0,3
9,0,0,3,12,3,3059,3,3,2,2,4,0,61,1,0,2,1,1,0,0,1
10,1,0,1,30,5,5234,0,0,4,3,2,2,28,1,1,2,1,2,0,0,3
11,1,1,1,12,3,1295,0,1,3,1,1,2,25,1,0,2,0,1,0,0,2
12,1,1,0,48,3,4308,0,1,3,1,4,1,24,0,0,2,0,1,0,0,2
13,0,1,1,12,3,1567,0,2,1,1,1,2,22,0,0,2,1,1,1,0,2
14,1,0,0,24,5,1199,0,4,4,0,4,2,60,0,0,2,1,2,0,0,1
15,0,1,0,15,3,1403,0,2,2,1,4,2,28,1,1,2,0,1,0,0,2
16,1,1,0,24,3,1282,1,2,4,1,2,2,32,1,0,2,1,1,0,0,1
17,0,0,3,24,5,2424,4,4,4,0,4,1,53,1,0,2,1,2,0,0,2
18,0,0,0,30,0,8072,4,1,2,0,3,2,25,1,1,0,1,3,0,0,2
19,1,1,1,24,3,12579,0,4,4,1,2,3,44,0,0,2,2,1,1,0,3
20,0,0,3,24,3,3430,2,4,3,0,2,2,31,1,1,2,1,1,1,0,2
21,0,0,3,9,5,2134,0,2,4,0,4,2,48,1,0,2,1,3,1,0,2
22,0,0,0,6,3,2647,2,2,2,0,3,0,44,1,1,2,0,1,0,0,2
23,0,0,0,10,5,2241,0,1,1,0,3,0,48,1,1,2,0,2,0,1,1
24,0,0,1,12,5,1804,1,1,3,0,4,1,44,1,1,2,1,1,0,0,2
25,0,0,3,10,5,2069,4,2,2,3,1,2,26,1,1,2,1,2,0,1,2
26,0,0,0,6,3,1374,0,2,1,0,2,0,36,1,0,0,1,1,1,0,1
27,0,0,3,6,0,426,0,4,4,3,4,2,39,1,1,2,1,1,0,0,1
28,0,1,2,12,1,409,3,2,3,1,3,0,42,1,1,2,0,2,0,0,2
29,0,0,1,7,3,2415,0,2,3,0,2,0,34,1,1,2,1,1,0,0,2
30,1,0,0,60,4,6836,0,4,3,0,4,3,63,1,0,2,1,2,1,0,2
31,0,0,1,18,3,1913,3,1,3,3,3,0,36,1,1,0,1,1,1,0,2
32,0,0,0,24,3,4020,0,2,2,0,2,2,27,1,1,1,1,1,0,0,2
33,0,0,1,18,3,5866,1,2,2,0,2,2,30,1,0,2,1,2,1,0,2
34,0,0,3,12,5,1264,4,4,4,0,4,3,57,1,0,2,0,1,0,0,1
35,0,1,2,12,3,1474,0,1,4,1,1,1,33,1,1,0,1,1,1,0,3
36,1,0,1,45,5,4746,0,1,4,0,2,1,25,1,0,2,1,2,0,0,1
37,0,0,3,48,5,6110,0,2,1,0,3,3,31,0,0,0,2,1,1,0,2
38,1,0,2,18,3,2100,0,2,4,0,2,0,37,1,0,1,1,1,0,0,2
39,0,0,2,10,3,1225,0,2,2,0,2,2,37,1,1,2,1,1,1,0,2
40,0,0,1,9,3,458,0,2,4,0,3,0,24,1,1,2,1,1,0,0,2
41,0,0,3,30,3,2333,2,4,4,0,2,2,30,0,0,0,1,1,0,0,3
42,0,0,1,12,3,1158,2,2,3,2,1,2,26,1,0,2,1,1,1,0,2
43,0,0,1,18,4,6204,0,2,2,0,4,0,44,1,0,2,1,1,1,0,1
44,0,0,0,30,5,6187,1,3,1,3,4,2,24,1,1,2,0,2,0,0,2
45,1,1,0,48,5,6143,0,4,4,1,4,3,58,0,0,1,2,2,0,0,1
46,0,1,3,11,5,1393,0,1,4,1,4,2,35,1,1,2,1,2,0,0,3
47,0,0,3,36,3,2299,2,4,4,0,4,2,39,1,0,2,1,1,0,0,2
48,0,1,0,6,3,1352,2,0,1,1,2,1,23,1,1,2,0,1,1,0,0
49,0,0,3,11,5,7228,0,2,1,0,4,1,39,0,0,2,1,2,0,0,1
50,0,1,3,12,3,2073,1,2,4,1,2,0,28,1,1,2,1,1,0,0,2
51,0,0,1,24,4,2333,4,1,4,0,2,1,29,1,0,0,1,1,0,0,1
52,0,0,1,27,4,5965,0,4,1,0,2,2,30,1,0,2,1,2,1,0,3
53,0,0,3,12,3,1262,0,2,3,0,2,2,25,1,0,2,1,1,0,0,2
54,0,0,3,18,3,3378,4,2,2,0,1,1,31,0,0,2,1,1,1,0,2
55,1,0,1,36,4,2225,0,4,4,0,4,3,57,1,0,0,2,2,1,0,2
56,0,0,3,6,1,783,4,2,1,0,2,0,26,1,1,1,1,1,0,0,1
57,1,0,1,12,3,6468,4,0,2,0,1,3,52,1,0,2,1,1,1,0,3
58,0,1,3,36,5,9566,0,2,2,1,2,2,31,1,1,1,1,2,0,0,2
59,0,1,2,18,3,1961,0,4,3,1,2,2,23,1,0,2,1,1,0,0,3
60,1,1,0,36,5,6229,0,1,4,1,4,3,23,0,0,2,0,2,1,0,1
61,0,0,1,9,3,1391,0,2,2,3,1,0,27,0,0,0,1,1,1,0,2
62,0,0,1,15,5,1537,4,4,4,0,4,0,50,1,0,2,1,2,1,0,2
63,1,0,1,36,0,1953,0,4,4,0,4,3,61,1,1,2,2,1,1,0,3
64,1,0,1,48,0,14421,0,2,2,0,2,2,25,1,1,2,1,1,1,0,2
65,0,1,3,24,3,3181,0,1,4,1,4,1,26,0,0,2,1,1,1,0,2
66,0,0,3,27,3,5190,4,4,4,0,4,1,48,1,0,2,1,4,1,0,2
67,0,1,3,12,3,2171,0,1,2,1,2,2,29,1,1,0,1,1,0,0,2
68,0,0,1,12,3,1007,3,2,4,3,1,0,22,1,0,2,1,1,0,0,2
69,1,0,3,36,3,1819,0,2,4,0,4,3,37,0,0,1,2,1,1,0,2
70,0,1,3,36,3,2394,4,2,4,1,4,2,25,1,1,2,1,1,0,0,2
71,0,1,3,36,3,8133,0,2,1,1,2,1,30,0,0,0,1,1,0,0,2
72,0,0,3,7,5,730,4,4,4,0,2,1,46,1,0,2,0,2,1,0,1
73,0,0,0,8,5,1164,0,4,3,0,4,3,51,1,1,0,2,2,1,0,3
74,0,1,1,42,5,5954,0,3,2,1,1,0,41,1,1,0,1,2,0,0,1
75,1,0,0,36,3,1977,4,4,4,0,4,3,40,1,1,2,1,1,1,0,3
76,0,0,0,12,5,1526,0,4,4,0,4,3,66,1,1,2,2,2,0,0,3
77,1,0,0,42,3,3965,0,1,4,0,3,2,34,1,1,2,1,1,0,0,2
78,0,0,1,11,4,4771,0,3,2,0,4,1,51,1,0,2,1,1,0,0,2
79,0,0,3,54,0,9436,4,2,2,0,2,1,39,1,1,2,1,1,0,0,1
80,0,0,1,30,3,3832,0,1,2,3,1,1,22,1,1,2,1,1,0,0,2
81,1,1,3,24,3,5943,4,1,1,1,1,2,44,0,0,2,1,2,1,0,2
82,0,0,3,15,3,1213,2,4,4,0,3,1,47,1,1,1,1,1,1,0,2
83,0,1,3,18,3,1568,1,2,3,1,4,1,24,1,1,2,0,1,0,0,1
84,0,1,0,24,3,1755,0,4,4,1,4,0,58,0,0,2,1,1,1,0,1
85,0,0,0,10,3,2315,0,4,3,0,4,0,52,1,1,2,1,1,0,0,1
86,0,1,3,12,5,1412,0,2,4,1,2,0,29,1,1,2,1,2,1,0,3
87,0,1,1,18,5,1295,0,1,4,1,1,1,27,1,0,2,1,2,0,0,2
88,1,0,1,36,3,12612,1,2,1,0,4,3,47,1,0,2,2,1,1,0,2
89,0,0,0,18,3,2249,1,3,4,0,3,2,30,1,1,2,1,1,1,0,3
90,1,0,0,12,0,1108,0,3,4,0,3,0,28,1,0,2,1,2,0,0,2
91,0,0,3,12,5,618,0,4,4,0,4,0,56,1,0,2,1,1,0,0,2
92,0,0,0,12,5,1409,0,4,4,0,3,0,54,1,1,2,1,1,0,0,2
93,1,1,3,12,5,797,4,4,4,1,3,1,33,1,1,0,1,1,0,0,1
94,0,0,2,24,5,3617,4,4,4,0,4,3,20,1,0,2,0,2,0,0,2
95,0,0,1,12,3,1318,3,4,4,0,4,0,54,0,0,2,1,1,1,0,2
96,1,0,1,54,0,15945,0,1,3,0,4,3,58,1,1,2,0,1,1,0,2
97,0,1,3,12,5,2012,4,3,4,1,2,2,61,1,1,2,1,1,0,0,2
98,0,0,1,18,3,2622,1,2,4,0,4,2,34,1,1,2,1,1,0,0,2
99,0,0,1,36,5,2337,0,4,4,0,4,0,36,1,0,2,1,1,0,0,2
100,0,0,1,20,4,7057,4,3,3,0,4,1,36,1,1,0,0,2,1,0,3
101,0,0,3,24,3,1469,1,4,4,3,4,0,41,1,1,2,0,1,0,0,1
