idx,account_check_status,duration_in_month,credit_history,credit_amount,savings,present_employment_since,sex,marriage,age_in_years,housing,foreign_worker,race,credit_risk
1,0,6,5,1169,4,4,0,0,67,1,0,0,0
2,1,48,3,5951,0,2,1,0,22,1,0,0,1
3,3,12,5,2096,0,3,0,0,49,1,0,0,0
4,0,42,3,7882,0,3,0,2,45,2,0,0,0
5,0,24,4,4870,0,2,0,0,53,2,0,0,1
6,3,36,3,9055,4,2,0,0,35,2,0,0,0
7,3,24,3,2835,2,4,0,0,53,1,0,0,0
8,1,36,3,6948,0,2,0,0,35,0,0,0,0
9,3,12,3,3059,3,3,0,0,61,1,0,0,0
10,1,30,5,5234,0,0,0,0,28,1,0,0,1
11,1,12,3,1295,0,1,1,0,25,0,0,0,1
12,0,48,3,4308,0,1,1,0,24,0,0,0,1
13,1,12,3,1567,0,2,1,0,22,1,0,0,0
14,0,24,5,1199,0,4,0,0,60,1,0,0,1
15,0,15,3,1403,0,2,1,0,28,0,0,0,0
16,0,24,3,1282,1,2,1,0,32,1,0,0,1
17,3,24,5,2424,4,4,0,0,53,1,0,0,0
18,0,30,0,8072,4,1,0,0,25,1,0,0,0
19,1,24,3,12579,0,4,1,0,44,2,0,0,1
20,3,24,3,3430,2,4,0,0,31,1,0,0,0
21,3,9,5,2134,0,2,0,0,48,1,0,0,0
22,0,6,3,2647,2,2,0,0,44,0,0,0,0
23,0,10,5,2241,0,1,0,0,48,0,1,1,0
24,1,12,5,1804,1,1,0,0,44,1,0,0,0
25,3,10,5,2069,4,2,0,0,26,1,1,1,0
26,0,6,3,1374,0,2,0,0,36,1,0,0,0
27,3,6,0,426,0,4,0,0,39,1,0,0,0
28,2,12,1,409,3,2,1,0,42,0,0,0,0
29,1,7,3,2415,0,2,0,2,34,1,0,0,0
30,0,60,4,6836,0,4,0,0,63,1,0,0,1
31,1,18,3,1913,3,1,0,0,36,1,0,0,0
32,0,24,3,4020,0,2,0,0,27,1,0,0,0
33,1,18,3,5866,1,2,0,0,30,1,0,0,0
34,3,12,5,1264,4,4,0,0,57,0,0,0,0
35,2,12,3,1474,0,1,1,0,33,1,0,0,0
36,1,45,5,4746,0,1,0,0,25,1,0,0,1
37,3,48,5,6110,0,2,0,0,31,2,0,0,0
38,2,18,3,2100,0,2,0,1,37,1,0,0,1
39,2,10,3,1225,0,2,0,0,37,1,0,0,0
40,1,9,3,458,0,2,0,0,24,1,0,0,0
41,3,30,3,2333,2,4,0,0,30,1,0,0,0
42,1,12,3,1158,2,2,0,0,26,1,0,0,0
43,1,18,4,6204,0,2,0,0,44,1,0,0,0
44,0,30,5,6187,1,3,0,0,24,0,0,0,0
45,0,48,5,6143,0,4,1,0,58,2,0,0,1
46,3,11,5,1393,0,1,1,0,35,1,0,0,0
47,3,36,3,2299,2,4,0,0,39,1,0,0,0
48,0,6,3,1352,2,0,1,0,23,0,0,0,0
49,3,11,5,7228,0,2,0,0,39,1,0,0,0
50,3,12,3,2073,1,2,1,1,28,1,0,0,0
51,1,24,4,2333,4,1,0,0,29,1,0,0,0
52,1,27,4,5965,0,4,0,0,30,1,0,0,0
53,3,12,3,1262,0,2,0,0,25,1,0,0,0
54,3,18,3,3378,4,2,0,0,31,1,0,0,0
55,1,36,4,2225,0,4,0,0,57,2,0,0,1
56,3,6,1,783,4,2,0,2,26,1,0,0,0
57,1,12,3,6468,4,0,0,0,52,1,0,0,1
58,3,36,5,9566,0,2,1,0,31,1,0,0,0
59,2,18,3,1961,0,4,1,0,23,1,0,0,0
60,0,36,5,6229,0,1,1,1,23,0,0,0,1
61,1,9,3,1391,0,2,0,0,27,1,0,0,0
62,1,15,5,1537,4,4,0,2,50,1,0,0,0
63,1,36,0,1953,0,4,0,0,61,2,0,0,1
64,1,48,0,14421,0,2,0,0,25,1,0,0,1
65,3,24,3,3181,0,1,1,0,26,1,0,0,0
66,3,27,3,5190,4,4,0,0,48,1,0,0,0
67,3,12,3,2171,0,1,1,0,29,1,0,0,0
68,1,12,3,1007,3,2,0,0,22,1,0,0,0
69,3,36,3,1819,0,2,0,0,37,2,0,0,1
70,3,36,3,2394,4,2,1,0,25,1,0,0,0
71,3,36,3,8133,0,2,1,0,30,1,0,0,0
72,3,7,5,730,4,4,0,0,46,0,0,0,0
73,0,8,5,1164,0,4,0,0,51,2,0,0,0
74,1,42,5,5954,0,3,1,0,41,1,0,0,0
75,0,36,3,1977,4,4,0,0,40,1,0,0,1
76,0,12,5,1526,0,4,0,0,66,2,0,0,0
77,0,42,3,3965,0,1,0,0,34,1,0,0,1
78,1,11,4,4771,0,3,0,0,51,1,0,0,0
79,3,54,0,9436,4,2,0,0,39,1,0,0,0
80,1,30,3,3832,0,1,0,0,22,1,0,0,0
81,3,24,3,5943,4,1,1,0,44,1,0,0,1
82,3,15,3,1213,2,4,0,0,47,1,0,0,0
83,3,18,3,1568,1,2,1,0,24,0,0,0,0
84,0,24,3,1755,0,4,1,2,58,1,0,0,0
85,0,10,3,2315,0,4,0,0,52,1,0,0,0
86,3,12,5,1412,0,2,1,2,29,1,0,0,0
87,1,18,5,1295,0,1,1,0,27,1,0,0,0
88,1,36,3,12612,1,2,0,0,47,2,0,0,1
89,0,18,3,2249,1,3,0,0,30,1,0,0,0
90,0,12,0,1108,0,3,0,0,28,1,0,0,1
91,3,12,5,618,0,4,0,0,56,1,0,0,0
92,0,12,5,1409,0,4,0,0,54,1,0,0,0
93,3,12,5,797,4,4,1,0,33,1,0,0,1
94,2,24,5,3617,4,4,0,1,20,0,0,0,0
95,1,12,3,1318,3,4,0,0,54,1,0,0,0
96,1,54,0,15945,0,1,0,0,58,0,0,0,1
97,3,12,5,2012,4,3,1,0,61,1,0,0,0
98,1,18,3,2622,1,2,0,0,34,1,0,0,0
99,1,36,5,2337,0,4,0,0,36,1,0,0,0
100,1,20,4,7057,4,3,0,0,36,0,0,0,0
