idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job
1,0,0,0,6,4,1169,4,0,67,1,0,2
2,1,1,1,48,2,5951,2,1,22,1,0,2
3,0,0,3,12,4,2096,3,0,49,1,0,1
4,0,0,0,42,2,7882,3,0,45,2,0,2
5,1,0,0,24,3,4870,2,0,53,2,0,2
6,0,0,3,36,2,9055,2,0,35,2,0,1
7,0,0,3,24,2,2835,4,0,53,1,0,2
8,0,0,1,36,2,6948,2,0,35,0,0,3
9,0,0,3,12,2,3059,3,2,61,1,0,1
10,1,0,1,30,4,5234,0,3,28,1,0,3
11,1,1,1,12,2,1295,1,1,25,0,0,2
12,1,1,0,48,2,4308,1,1,24,0,0,2
13,0,1,1,12,2,1567,2,1,22,1,0,2
14,1,0,0,24,4,1199,4,0,60,1,0,1
15,0,1,0,15,2,1403,2,1,28,0,0,2
16,1,1,0,24,2,1282,2,1,32,1,0,1
17,0,0,3,24,4,2424,4,0,53,1,0,2
18,0,0,0,30,0,8072,1,0,25,1,0,2
19,1,1,1,24,2,12579,4,1,44,2,0,3
20,0,0,3,24,2,3430,4,0,31,1,0,2
21,0,0,3,9,4,2134,2,0,48,1,0,2
22,0,0,0,6,2,2647,2,0,44,0,0,2
23,0,0,0,10,4,2241,1,0,48,0,1,1
24,0,0,1,12,4,1804,1,0,44,1,0,2
25,0,0,3,10,4,2069,2,3,26,1,1,2
26,0,0,0,6,2,1374,2,0,36,1,0,1
27,0,0,3,6,0,426,4,3,39,1,0,1
28,0,1,2,12,1,409,2,1,42,0,0,2
29,0,0,1,7,2,2415,2,0,34,1,0,2
30,1,0,0,60,3,6836,4,0,63,1,0,2
31,0,0,1,18,2,1913,1,3,36,1,0,2
32,0,0,0,24,2,4020,2,0,27,1,0,2
33,0,0,1,18,2,5866,2,0,30,1,0,2
34,0,0,3,12,4,1264,4,0,57,0,0,1
35,0,1,2,12,2,1474,1,1,33,1,0,3
36,1,0,1,45,4,4746,1,0,25,1,0,1
37,0,0,3,48,4,6110,2,0,31,2,0,2
38,1,0,2,18,2,2100,2,0,37,1,0,2
39,0,0,2,10,2,1225,2,0,37,1,0,2
40,0,0,1,9,2,458,2,0,24,1,0,2
41,0,0,3,30,2,2333,4,0,30,1,0,3
42,0,0,1,12,2,1158,2,2,26,1,0,2
43,0,0,1,18,3,6204,2,0,44,1,0,1
44,0,0,0,30,4,6187,3,3,24,0,0,2
45,1,1,0,48,4,6143,4,1,58,2,0,1
46,0,1,3,11,4,1393,1,1,35,1,0,3
47,0,0,3,36,2,2299,4,0,39,1,0,2
48,0,1,0,6,2,1352,0,1,23,0,0,0
49,0,0,3,11,4,7228,2,0,39,1,0,1
50,0,1,3,12,2,2073,2,1,28,1,0,2
51,0,0,1,24,3,2333,1,0,29,1,0,1
52,0,0,1,27,3,5965,4,0,30,1,0,3
53,0,0,3,12,2,1262,2,0,25,1,0,2
54,0,0,3,18,2,3378,2,0,31,1,0,2
55,1,0,1,36,3,2225,4,0,57,2,0,2
56,0,0,3,6,1,783,2,0,26,1,0,1
57,1,0,1,12,2,6468,0,0,52,1,0,3
58,0,1,3,36,4,9566,2,1,31,1,0,2
59,0,1,2,18,2,1961,4,1,23,1,0,3
60,1,1,0,36,4,6229,1,1,23,0,0,1
61,0,0,1,9,2,1391,2,3,27,1,0,2
62,0,0,1,15,4,1537,4,0,50,1,0,2
63,1,0,1,36,0,1953,4,0,61,2,0,3
64,1,0,1,48,0,14421,2,0,25,1,0,2
65,0,1,3,24,2,3181,1,1,26,1,0,2
66,0,0,3,27,2,5190,4,0,48,1,0,2
