idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job
1,0,0,0,6,4,1169,4,0,67,1,0,2
3,0,0,3,12,4,2096,3,0,49,1,0,1
4,0,0,0,42,2,7882,3,0,45,2,0,2
5,1,0,0,24,3,4870,2,0,53,2,0,2
6,0,0,3,36,2,9055,2,0,35,2,0,1
7,0,0,3,24,2,2835,4,0,53,1,0,2
8,0,0,1,36,2,6948,2,0,35,0,0,3
9,0,0,3,12,2,3059,3,2,61,1,0,1
10,1,0,1,30,4,5234,0,3,28,1,0,3
14,1,0,0,24,4,1199,4,0,60,1,0,1
17,0,0,3,24,4,2424,4,0,53,1,0,2
18,0,0,0,30,0,8072,1,0,25,1,0,2
20,0,0,3,24,2,3430,4,0,31,1,0,2
21,0,0,3,9,4,2134,2,0,48,1,0,2
22,0,0,0,6,2,2647,2,0,44,0,0,2
23,0,0,0,10,4,2241,1,0,48,0,1,1
24,0,0,1,12,4,1804,1,0,44,1,0,2
25,0,0,3,10,4,2069,2,3,26,1,1,2
26,0,0,0,6,2,1374,2,0,36,1,0,1
27,0,0,3,6,0,426,4,3,39,1,0,1
29,0,0,1,7,2,2415,2,0,34,1,0,2
30,1,0,0,60,3,6836,4,0,63,1,0,2
31,0,0,1,18,2,1913,1,3,36,1,0,2
32,0,0,0,24,2,4020,2,0,27,1,0,2
33,0,0,1,18,2,5866,2,0,30,1,0,2
34,0,0,3,12,4,1264,4,0,57,0,0,1
36,1,0,1,45,4,4746,1,0,25,1,0,1
37,0,0,3,48,4,6110,2,0,31,2,0,2
38,1,0,2,18,2,2100,2,0,37,1,0,2
39,0,0,2,10,2,1225,2,0,37,1,0,2
40,0,0,1,9,2,458,2,0,24,1,0,2
41,0,0,3,30,2,2333,4,0,30,1,0,3
42,0,0,1,12,2,1158,2,2,26,1,0,2
43,0,0,1,18,3,6204,2,0,44,1,0,1
44,0,0,0,30,4,6187,3,3,24,0,0,2
47,0,0,3,36,2,2299,4,0,39,1,0,2
49,0,0,3,11,4,7228,2,0,39,1,0,1
51,0,0,1,24,3,2333,1,0,29,1,0,1
52,0,0,1,27,3,5965,4,0,30,1,0,3
53,0,0,3,12,2,1262,2,0,25,1,0,2
54,0,0,3,18,2,3378,2,0,31,1,0,2
55,1,0,1,36,3,2225,4,0,57,2,0,2
56,0,0,3,6,1,783,2,0,26,1,0,1
57,1,0,1,12,2,6468,0,0,52,1,0,3
61,0,0,1,9,2,1391,2,3,27,1,0,2
62,0,0,1,15,4,1537,4,0,50,1,0,2
63,1,0,1,36,0,1953,4,0,61,2,0,3
64,1,0,1,48,0,14421,2,0,25,1,0,2
66,0,0,3,27,2,5190,4,0,48,1,0,2
68,0,0,1,12,2,1007,2,3,22,1,0,2
69,1,0,3,36,2,1819,2,0,37,2,0,2
72,0,0,3,7,4,730,4,0,46,0,0,1
73,0,0,0,8,4,1164,4,0,51,2,0,3
75,1,0,0,36,2,1977,4,0,40,1,0,3
76,0,0,0,12,4,1526,4,0,66,2,0,3
77,1,0,0,42,2,3965,1,0,34,1,0,2
78,0,0,1,11,3,4771,3,0,51,1,0,2
79,0,0,3,54,0,9436,2,0,39,1,0,1
80,0,0,1,30,2,3832,1,3,22,1,0,2
82,0,0,3,15,2,1213,4,0,47,1,0,2
85,0,0,0,10,2,2315,4,0,52,1,0,1
88,1,0,1,36,2,12612,2,0,47,2,0,2
89,0,0,0,18,2,2249,3,0,30,1,0,3
90,1,0,0,12,0,1108,3,0,28,1,0,2
91,0,0,3,12,4,618,4,0,56,1,0,2
92,0,0,0,12,4,1409,4,0,54,1,0,2
94,0,0,2,24,4,3617,4,0,20,0,0,2
95,0,0,1,12,2,1318,4,0,54,1,0,2
96,1,0,1,54,0,15945,1,0,58,0,0,2
98,0,0,1,18,2,2622,2,0,34,1,0,2
99,0,0,1,36,4,2337,4,0,36,1,0,2
100,0,0,1,20,3,7057,3,0,36,0,0,3
101,0,0,3,24,2,1469,4,3,41,0,0,1
102,0,0,1,36,2,2323,3,0,24,0,0,2
104,0,0,1,9,4,1919,3,0,35,0,0,2
105,0,0,3,12,2,2445,1,3,26,0,0,2
106,1,0,1,24,4,11938,2,0,39,1,0,3
107,1,0,3,18,1,6458,4,0,39,1,0,3
108,0,0,1,12,2,6078,3,0,32,1,0,2
110,0,0,1,14,2,1410,4,3,35,1,0,2
111,0,0,1,6,3,1449,4,2,31,1,0,2
113,0,0,1,18,2,6260,3,0,28,0,0,1
115,0,0,0,12,2,1680,4,3,35,1,0,2
116,0,0,3,48,4,3578,4,0,47,1,0,2
120,0,0,1,12,4,2366,3,2,36,1,0,3
123,0,0,3,12,2,1768,2,0,24,0,0,1
124,0,0,2,10,4,781,4,0,63,2,0,2
126,0,0,0,12,4,2121,2,0,30,1,0,2
127,0,0,0,12,2,701,2,3,40,1,0,1
128,1,0,1,12,2,639,2,0,30,1,0,2
129,0,0,1,12,4,1860,0,0,34,1,0,3
132,1,0,0,36,3,6887,2,0,29,1,0,2
133,0,0,3,15,2,2708,1,0,27,1,0,1
134,0,0,3,18,2,1984,2,0,47,2,0,2
137,0,0,3,27,3,8613,2,0,27,1,0,2
138,1,0,1,12,2,766,2,0,66,1,0,1
139,0,0,1,15,4,2728,3,0,35,1,0,2
141,0,0,2,6,2,709,1,3,27,1,1,0
143,0,0,0,27,2,3416,2,0,27,1,0,3
144,1,0,0,18,2,2462,2,0,22,1,0,2
2,1,1,1,48,2,5951,2,1,22,1,0,2
11,1,1,1,12,2,1295,1,1,25,0,0,2
