idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job
1,0,0,0,6,4,1169,4,0,67,1,0,2
3,0,0,3,12,4,2096,3,0,49,1,0,1
29,0,0,1,7,2,2415,2,0,34,1,0,2
31,0,0,1,18,2,1913,1,3,36,1,0,2
76,0,0,0,12,4,1526,4,0,66,2,0,3
78,0,0,1,11,3,4771,3,0,51,1,0,2
79,0,0,3,54,0,9436,2,0,39,1,0,1
80,0,0,1,30,2,3832,1,3,22,1,0,2
82,0,0,3,15,2,1213,4,0,47,1,0,2
85,0,0,0,10,2,2315,4,0,52,1,0,1
89,0,0,0,18,2,2249,3,0,30,1,0,3
91,0,0,3,12,4,618,4,0,56,1,0,2
92,0,0,0,12,4,1409,4,0,54,1,0,2
94,0,0,2,24,4,3617,4,0,20,0,0,2
95,0,0,1,12,2,1318,4,0,54,1,0,2
98,0,0,1,18,2,2622,2,0,34,1,0,2
99,0,0,1,36,4,2337,4,0,36,1,0,2
100,0,0,1,20,3,7057,3,0,36,0,0,3
101,0,0,3,24,2,1469,4,3,41,0,0,1
102,0,0,1,36,2,2323,3,0,24,0,0,2
104,0,0,1,9,4,1919,3,0,35,0,0,2
184,0,0,3,24,4,3777,2,0,50,1,0,2
186,0,0,3,15,4,1360,2,0,31,1,0,2
188,0,0,1,16,4,1175,0,0,68,2,0,0
194,0,0,3,6,2,2108,3,3,29,0,0,2
199,0,0,1,24,2,2760,4,0,36,2,0,2
201,0,0,3,9,4,936,4,0,52,1,0,2
202,0,0,0,12,2,1168,2,3,27,1,0,1
203,0,0,3,27,3,5117,3,0,26,1,0,2
205,0,0,3,12,4,1495,4,0,38,1,0,1
206,0,0,0,30,4,10623,4,0,38,2,0,3
207,0,0,3,12,4,1935,4,0,43,1,0,2
208,0,0,1,12,4,1424,3,0,26,1,0,2
209,0,0,0,24,2,6568,2,3,21,1,0,1
210,0,0,3,12,2,1413,3,0,55,1,1,2
211,0,0,3,9,4,3074,2,0,33,1,0,2
215,0,0,3,36,4,3342,4,0,51,1,0,2
217,0,0,0,18,0,3104,3,0,31,1,0,2
343,0,0,1,18,2,3213,1,3,25,0,0,2
344,0,0,1,18,2,4439,4,0,33,1,0,3
345,0,0,2,10,2,3949,1,0,37,1,0,1
347,0,0,1,13,4,882,1,0,23,1,0,2
395,0,0,3,9,4,2406,0,0,31,1,0,3
396,0,0,1,39,3,11760,3,0,32,0,0,2
398,0,0,0,36,4,2348,2,3,46,1,0,2
401,0,0,3,18,2,1473,1,3,39,1,0,2
402,0,0,1,18,4,1887,2,3,28,1,0,2
404,0,0,3,14,3,802,2,0,27,1,0,1
405,0,0,1,18,3,2899,4,0,43,1,0,2
407,0,0,3,24,4,2197,3,0,43,1,0,2
408,0,0,0,15,2,1053,1,3,27,1,1,2
409,0,0,3,24,2,3235,4,2,26,1,0,3
464,0,0,1,12,2,754,4,0,38,1,0,2
465,0,0,3,18,2,1950,3,0,34,1,0,2
466,0,0,0,24,2,2924,2,0,63,1,0,2
468,0,0,3,48,3,7238,4,0,32,1,0,2
470,0,0,3,24,3,4679,3,0,35,1,0,1
474,0,0,3,6,2,1238,0,0,36,1,0,3
477,0,0,3,39,2,2569,2,0,24,1,0,2
478,0,0,2,24,2,5152,3,0,25,1,0,2
479,0,0,1,12,2,1037,3,0,39,1,0,1
480,0,0,0,15,4,1478,4,0,44,1,0,2
482,0,0,1,24,2,1201,1,0,26,1,0,2
485,0,0,3,12,4,1163,2,0,44,1,0,2
487,0,0,3,12,2,3077,2,0,52,1,0,2
489,0,0,3,10,2,1418,2,0,35,0,1,1
490,0,0,3,6,2,3518,2,0,26,0,0,2
491,0,0,3,12,4,1934,4,0,26,1,0,2
494,0,0,1,6,2,368,4,0,38,1,0,2
495,0,0,0,12,4,2122,2,0,39,0,1,1
498,0,0,3,24,4,1585,3,0,40,1,0,2
499,0,0,1,18,2,1301,4,3,32,1,0,1
500,0,0,2,6,4,1323,4,2,28,1,0,2
502,0,0,0,36,2,5493,4,0,42,2,0,2
503,0,0,2,9,2,1126,4,2,49,1,0,2
507,0,0,2,15,4,2360,2,0,36,1,0,2
509,0,0,3,24,2,1413,2,3,28,1,0,2
510,0,0,3,39,2,8588,4,0,45,1,0,3
512,0,0,3,36,2,4686,2,0,32,2,0,3
513,0,0,2,15,2,2687,3,0,26,0,0,2
514,0,0,1,12,3,585,2,3,20,0,0,2
515,0,0,3,24,2,2255,1,0,54,1,0,2
517,0,0,0,6,4,1361,1,0,40,1,1,1
519,0,0,0,6,2,1203,4,0,43,1,0,2
520,0,0,3,6,4,700,4,0,36,2,0,2
521,0,0,3,24,4,5507,4,0,44,2,0,2
526,0,0,1,26,2,7966,1,0,30,1,0,2
528,0,0,3,4,4,1503,3,0,42,1,0,1
530,0,0,0,6,2,662,1,0,41,1,0,1
531,0,0,1,36,2,2273,3,0,32,1,0,2
533,0,0,3,12,3,1503,2,3,41,0,0,2
30,1,0,0,60,3,6836,4,0,63,1,0,2
75,1,0,0,36,2,1977,4,0,40,1,0,3
77,1,0,0,42,2,3965,1,0,34,1,0,2
88,1,0,1,36,2,12612,2,0,47,2,0,2
90,1,0,0,12,0,1108,3,0,28,1,0,2
96,1,0,1,54,0,15945,1,0,58,0,0,2
182,1,0,1,36,3,4455,2,2,30,1,0,3
183,1,0,0,21,1,1647,2,0,40,1,0,1
185,1,0,1,18,4,884,4,0,36,1,0,2
189,1,0,0,12,2,674,3,3,20,1,0,2
191,1,0,3,24,2,4591,2,0,54,1,0,3
