idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job
724,0,1,1,9,2,790,2,1,66,1,0,1
944,0,0,3,4,4,1455,3,0,42,1,0,1
972,0,0,3,24,2,7393,2,0,43,1,0,1
918,1,0,0,6,2,14896,4,0,68,1,0,3
680,0,1,3,18,2,1453,1,1,26,1,0,2
605,0,1,2,10,2,1275,1,1,23,1,0,2
958,0,0,1,9,4,1154,4,0,37,1,0,1
853,0,0,3,15,4,1471,2,0,35,2,0,2
858,0,0,3,15,4,3343,2,0,28,2,0,2
747,0,1,0,15,2,2511,0,1,23,0,0,2
824,0,0,0,8,4,731,4,0,47,1,0,1
778,0,1,0,18,2,3509,3,1,25,1,0,2
752,1,1,0,18,2,976,1,1,23,1,0,1
962,0,0,1,21,3,2353,2,2,47,1,0,2
990,0,0,1,24,4,1743,4,0,48,1,0,1
977,0,1,1,6,2,753,2,1,64,1,0,2
751,0,1,0,6,2,428,4,1,49,1,0,2
850,1,0,0,12,2,709,4,0,57,1,0,1
723,1,1,0,12,2,1228,2,1,24,1,0,1
897,0,1,0,21,2,2606,1,1,28,0,0,3
889,0,0,3,36,4,6614,4,0,34,1,0,3
979,1,0,3,24,3,2538,4,0,47,1,0,1
975,0,1,3,30,4,2831,2,1,33,1,0,2
947,1,0,0,24,1,3349,1,0,30,2,0,2
866,0,1,3,15,2,2221,2,1,20,0,0,2
592,0,1,1,24,3,1965,2,1,42,0,0,2
712,1,1,0,6,1,1198,4,1,35,2,0,2
965,0,0,1,6,2,454,1,3,22,1,0,1
593,0,1,3,21,2,1572,4,1,36,1,0,1
989,0,0,0,24,2,6579,0,0,29,2,0,3
903,0,0,3,36,4,10477,4,0,42,2,0,2
791,1,1,1,21,2,1188,4,1,39,1,0,2
876,0,1,1,11,4,1322,2,1,40,1,0,2
909,0,1,3,15,3,3594,1,1,46,1,0,1
978,0,0,1,18,3,2427,4,0,42,1,0,2
831,0,0,3,24,3,2375,2,0,44,1,0,2
895,0,0,3,18,4,1169,2,0,29,1,0,2
839,0,0,0,24,4,2957,4,0,63,1,0,2
985,0,0,3,24,4,2028,3,0,30,1,0,1
995,0,0,3,12,2,2390,4,0,50,1,0,2
952,1,0,0,36,3,2145,3,0,24,1,0,2
611,1,1,0,12,2,741,0,1,22,1,0,2
879,1,0,0,9,2,1422,1,0,27,2,0,3
802,0,1,1,18,4,1795,4,1,48,0,0,1
907,0,0,0,21,2,3763,3,0,24,1,1,1
881,0,0,3,24,2,7814,3,0,38,1,0,3
993,0,0,0,18,2,1936,3,3,23,0,0,1
906,0,0,0,12,2,1107,2,0,20,0,0,3
762,1,1,0,18,4,2124,2,1,24,0,0,2
591,0,1,0,12,4,385,3,1,58,1,0,1
901,1,0,0,16,4,2625,4,0,43,0,0,2
936,1,0,1,30,3,1919,1,0,30,1,0,3
950,1,0,3,24,2,3621,4,0,31,1,0,2
784,1,1,1,12,2,836,1,1,23,1,0,1
612,1,1,2,10,2,1240,4,1,48,2,0,1
736,0,1,1,36,1,3990,1,1,29,1,0,0
637,0,1,3,24,2,1376,3,1,28,1,0,2
863,1,1,0,24,2,2439,1,1,35,1,0,2
852,0,0,3,24,4,4042,3,0,43,1,0,2
