idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job,
631,0,1,0,24,2,3660,2,1,28,1,0,2,0.194060785
975,0,1,3,30,4,2831,2,1,33,1,0,2,0.824613171
926,1,0,0,12,1,697,1,0,46,1,0,2,0.124011921
948,0,0,3,12,2,2859,0,0,38,1,0,3,0.776358093
984,1,0,0,36,2,8229,2,0,26,1,0,2,0.636082371
937,1,1,2,9,2,745,2,1,28,1,0,1,0.955190891
864,0,0,3,27,4,4526,1,0,32,1,0,1,0.832912149
907,0,0,0,21,2,3763,3,0,24,1,1,1,0.566060603
925,1,0,0,24,1,6872,1,2,55,1,0,2,0.323463943
929,0,0,3,30,2,1867,4,0,58,1,0,2,0.855440915
938,0,0,1,6,2,2063,1,3,30,0,0,3,0.516452006
826,0,0,0,21,4,1602,4,3,30,1,0,2,0.340078278
928,1,0,0,48,2,10297,3,0,39,2,0,2,0.304350034
892,0,0,3,15,4,1829,4,0,46,1,0,2,0.004278498
810,1,1,1,15,0,1778,1,1,26,0,0,0,0.549600336
973,1,1,0,24,1,1193,0,1,29,0,0,0,0.975325231
876,0,1,1,11,4,1322,2,1,40,1,0,2,0.920163475
822,0,0,2,12,2,3016,2,3,24,1,0,2,0.131778663
614,0,1,0,24,1,3632,2,1,22,0,1,2,0.588018701
932,1,1,1,9,2,1670,1,1,22,1,0,2,0.918589827
954,1,1,3,36,2,10974,0,1,26,1,0,3,0.86224972
865,1,0,3,10,2,2210,2,0,25,0,0,1,0.602538147
780,0,1,1,18,2,3872,0,1,67,1,0,2,0.576300362
725,1,1,3,27,2,2570,2,1,21,0,0,2,0.719267417
1000,0,0,1,45,4,4576,0,0,27,1,0,2,0.341346933
959,1,0,0,28,2,4006,2,0,45,1,0,1,0.243511464
971,0,0,1,15,2,1514,2,0,22,1,0,2,0.866166117
943,0,0,3,24,2,929,3,0,31,1,0,2,0.936080184
805,0,1,1,12,2,7472,0,1,24,0,0,0,0.248500963
860,0,0,3,9,2,3577,2,0,26,0,1,2,0.012059941
615,1,1,3,18,3,1808,3,1,22,1,0,2,0.937112127
962,0,0,1,21,3,2353,2,2,47,1,0,2,0.295182173
945,0,1,0,15,2,1845,1,1,46,0,0,2,0.320169183
893,0,0,0,12,4,2171,2,0,38,1,1,1,0.276681086
605,0,1,2,10,2,1275,1,1,23,1,0,2,0.224593628
706,0,1,3,15,2,5324,4,1,35,2,0,2,0.839043747
870,0,1,0,12,2,652,4,1,24,0,0,2,0.596877996
784,1,1,1,12,2,836,1,1,23,1,0,1,0.967694452
635,1,1,1,24,2,1355,1,1,25,1,0,1,0.77911319
857,0,1,3,10,2,894,3,1,40,1,0,2,0.066510483
831,0,0,3,24,3,2375,2,0,44,1,0,2,0.236390089
990,0,0,1,24,4,1743,4,0,48,1,0,1,0.742953615
771,0,1,0,24,2,2812,4,1,26,0,0,2,0.662394666
891,0,0,0,27,4,2442,4,0,43,1,0,3,0.448283672
816,0,1,1,36,3,7432,2,1,54,0,0,2,0.466886108
882,0,0,3,24,2,9277,2,2,48,2,0,2,0.379461432
802,0,1,1,18,4,1795,4,1,48,0,0,1,0.215794381
966,0,1,1,30,2,1715,2,1,26,1,0,2,0.243660045
858,0,0,3,15,4,3343,2,0,28,2,0,2,0.925383773
955,0,1,0,12,2,1893,2,1,29,1,0,2,0.122788619
918,1,0,0,6,2,14896,4,0,68,1,0,3,0.994586334
940,0,0,3,24,4,6842,2,0,46,1,0,3,0.397062971
692,0,1,1,15,2,2631,2,1,25,1,0,1,0.247855231
733,0,1,1,8,2,760,3,1,44,1,0,1,0.127817044
899,0,1,3,15,2,2186,3,1,33,0,0,1,0.07814259
604,1,1,3,36,2,3349,2,1,28,1,0,3,0.811949427
957,0,0,2,30,4,3656,4,0,49,1,0,1,0.596857182
936,1,0,1,30,3,1919,1,0,30,1,0,3,0.818617126
895,0,0,3,18,4,1169,2,0,29,1,0,2,0.200649784
611,1,1,0,12,2,741,0,1,22,1,0,2,0.386164335
724,0,1,1,9,2,790,2,1,66,1,0,1,0.577214968
726,0,1,3,6,4,250,2,1,41,1,0,1,0.510275419
983,0,1,2,21,2,2923,2,1,28,1,0,3,0.592806769
849,0,0,0,9,2,1364,3,0,59,1,0,2,0.397599926
830,0,0,1,48,3,6681,2,0,38,2,0,2,0.784946877
951,0,0,1,18,4,3590,0,3,40,1,0,0,0.02870445
977,0,1,1,6,2,753,2,1,64,1,0,2,0.950864324
963,0,0,3,15,2,3556,2,0,29,1,0,2,0.834592628
601,0,1,1,7,2,2329,1,1,45,1,0,2,0.28359237
