idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job
2,1,1,1,48,2,5951,2,3,34,1,0,2
11,1,1,1,12,2,1295,1,1,41,0,0,2
12,1,1,0,48,2,4308,1,1,29,0,0,2
13,0,1,1,12,2,1567,2,1,41,1,0,2
15,0,1,0,15,2,1403,2,1,37,0,0,2
16,1,1,0,24,2,1282,2,1,42,1,0,1
19,1,1,1,24,2,12579,4,1,66,2,0,3
28,0,1,2,12,1,409,2,3,58,0,0,2
35,0,1,2,12,2,1474,1,1,46,1,0,3
45,1,1,0,48,4,6143,4,1,75,2,0,1
46,0,1,3,11,4,1393,1,1,45,1,0,3
48,0,1,0,6,2,1352,0,3,34,0,0,0
50,0,1,3,12,2,2073,2,1,39,1,0,2
58,0,1,3,36,4,9566,2,3,39,1,0,2
59,0,1,2,18,2,1961,4,3,36,1,0,3
60,1,1,0,36,4,6229,1,1,28,0,0,1
65,0,1,3,24,2,3181,1,3,37,1,0,2
67,0,1,3,12,2,2171,1,3,43,1,0,2
70,0,1,3,36,2,2394,2,3,41,1,0,2
71,0,1,3,36,2,8133,2,3,40,1,0,2
74,0,1,1,42,4,5954,3,3,52,1,0,1
81,1,1,3,24,2,5943,1,1,59,1,0,2
83,0,1,3,18,2,1568,2,1,37,0,0,1
84,0,1,0,24,2,1755,4,1,73,1,0,1
86,0,1,3,12,4,1412,2,1,44,1,0,3
87,0,1,1,18,4,1295,1,3,47,1,0,2
93,1,1,3,12,4,797,4,3,50,1,0,1
97,0,1,3,12,4,2012,3,1,74,1,0,2
103,0,1,3,6,3,932,2,3,33,1,0,2
109,0,1,0,24,2,7721,1,1,43,1,1,2
112,0,1,2,15,2,392,1,3,35,0,0,2
114,1,1,3,36,4,7855,2,3,37,1,0,2
117,1,1,0,42,2,7174,3,1,34,1,0,3
118,0,1,0,10,4,2132,1,1,40,0,1,2
119,1,1,0,33,4,4281,2,1,33,1,0,2
121,1,1,0,21,2,1835,2,3,38,1,0,2
122,0,1,3,24,4,3868,4,1,60,0,0,3
125,1,1,1,18,2,1924,1,1,46,0,0,2
130,1,1,0,12,4,3499,2,1,51,1,0,2
131,0,1,1,48,2,8487,3,1,40,1,0,2
135,0,1,3,60,2,10144,3,1,37,1,0,2
136,0,1,3,12,4,1240,4,1,48,1,0,2
140,0,1,2,12,2,1881,2,1,65,0,0,1
142,0,1,1,36,2,4795,1,1,43,1,0,3
145,0,1,3,21,4,2288,1,1,39,1,0,2
147,0,1,0,6,4,860,4,1,53,1,0,2
148,0,1,3,12,4,682,3,1,66,1,0,2
154,0,1,1,24,4,7758,4,1,49,0,0,2
156,1,1,0,12,2,1282,2,1,32,0,0,2
162,0,1,3,18,4,1055,1,3,39,1,0,2
1,0,0,0,6,4,1169,4,0,54,1,1,2
3,0,0,3,12,4,2096,3,0,35,1,0,1
4,0,0,0,42,2,7882,3,0,26,2,1,2
5,1,0,0,24,3,4870,2,0,40,2,0,2
6,0,0,3,36,2,9055,2,0,22,2,1,1
7,0,0,3,24,2,2835,4,0,36,1,0,2
8,0,0,1,36,2,6948,2,0,25,0,0,3
9,0,0,3,12,2,3059,3,2,41,1,0,1
10,1,0,1,30,4,5234,0,0,13,1,1,3
14,1,0,0,24,4,1199,4,0,43,1,1,1
17,0,0,3,24,4,2424,4,0,39,1,0,2
18,0,0,0,30,0,8072,1,0,17,1,0,2
20,0,0,3,24,2,3430,4,0,20,1,0,2
21,0,0,3,9,4,2134,2,0,32,1,1,2
22,0,0,0,6,2,2647,2,0,29,0,0,2
23,0,0,0,10,4,2241,1,0,36,0,1,1
24,0,0,1,12,4,1804,1,0,26,1,1,2
25,0,0,3,10,4,2069,2,3,14,1,1,2
26,0,0,0,6,2,1374,2,0,26,1,1,1
27,0,0,3,6,0,426,4,0,32,1,0,1
29,0,0,1,7,2,2415,2,0,22,1,0,2
30,1,0,0,60,3,6836,4,0,52,1,0,2
31,0,0,1,18,2,1913,1,3,22,1,1,2
32,0,0,0,24,2,4020,2,0,17,1,1,2
33,0,0,1,18,2,5866,2,0,21,1,0,2
34,0,0,3,12,4,1264,4,0,43,0,1,1
36,1,0,1,45,4,4746,1,0,13,1,0,1
37,0,0,3,48,4,6110,2,0,15,2,0,2
38,1,0,2,18,2,2100,2,0,23,1,1,2
39,0,0,2,10,2,1225,2,0,22,1,1,2
40,0,0,1,9,2,458,2,0,11,1,1,2
41,0,0,3,30,2,2333,4,0,14,1,0,3
42,0,0,1,12,2,1158,2,2,13,1,1,2
43,0,0,1,18,3,6204,2,0,29,1,0,1
44,0,0,0,30,4,6187,3,3,14,0,0,2
47,0,0,3,36,2,2299,4,0,21,1,0,2
49,0,0,3,11,4,7228,2,0,27,1,0,1
51,0,0,1,24,3,2333,1,0,18,1,0,1
52,0,0,1,27,3,5965,4,0,19,1,1,3
53,0,0,3,12,2,1262,2,0,11,1,1,2
54,0,0,3,18,2,3378,2,0,21,1,0,2
55,1,0,1,36,3,2225,4,0,44,2,0,2
56,0,0,3,6,1,783,2,0,19,1,1,1
57,1,0,1,12,2,6468,0,0,34,1,0,3
61,0,0,1,9,2,1391,2,0,18,1,1,2
62,0,0,1,15,4,1537,4,0,35,1,0,2
63,1,0,1,36,0,1953,4,0,45,2,1,3
64,1,0,1,48,0,14421,2,0,10,1,0,2
66,0,0,3,27,2,5190,4,0,35,1,0,2
68,0,0,1,12,2,1007,2,3,14,1,1,2
