idx,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account/bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,sex,other_debtors/guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
1,1,6,critical_account/other_credits_existing_not_at_this_bank,radio/television,1169,0,4,4,male_single,male,none,4,real_estate,67,none,own,2,2,1,1,1,1
2,2,48,existing_credits_paid_back_duly_till_now,radio/television,5951,1,2,2,female_divorced/separated/married,female,none,2,real_estate,22,none,own,1,2,1,0,1,0
3,0,12,critical_account/other_credits_existing_not_at_this_bank,education,2096,1,3,2,male_single,male,none,3,real_estate,49,none,own,1,1,2,0,1,1
4,1,42,existing_credits_paid_back_duly_till_now,furniture/equipment,7882,1,3,2,male_single,male,guarantor,4,building_society_savings_agreement/life_insurance,45,none,for free,1,2,2,0,1,1
5,1,24,delay_in_paying_off_in_the_past,car_(new),4870,1,2,3,male_single,male,none,4,unknown/no_property,53,none,for free,2,2,2,0,1,0
6,0,36,existing_credits_paid_back_duly_till_now,education,9055,0,2,2,male_single,male,none,4,unknown/no_property,35,none,for free,1,1,2,1,1,1
7,0,24,existing_credits_paid_back_duly_till_now,furniture/equipment,2835,3,4,3,male_single,male,none,4,building_society_savings_agreement/life_insurance,53,none,own,1,2,1,0,1,1
8,2,36,existing_credits_paid_back_duly_till_now,car_(used),6948,1,2,2,male_single,male,none,2,car_or_other,35,none,rent,1,3,1,1,1,1
9,0,12,existing_credits_paid_back_duly_till_now,radio/television,3059,4,3,2,male_divorced/separated,male,none,4,real_estate,61,none,own,1,1,1,0,1,1
10,2,30,critical_account/other_credits_existing_not_at_this_bank,car_(new),5234,1,0,4,male_married/widowed,male,none,2,car_or_other,28,none,own,2,3,1,0,1,0
11,2,12,existing_credits_paid_back_duly_till_now,car_(new),1295,1,1,3,female_divorced/separated/married,female,none,1,car_or_other,25,none,rent,1,2,1,0,1,0
12,1,48,existing_credits_paid_back_duly_till_now,business,4308,1,1,3,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,24,none,rent,1,2,1,0,1,0
13,2,12,existing_credits_paid_back_duly_till_now,radio/television,1567,1,2,1,female_divorced/separated/married,female,none,1,car_or_other,22,none,own,1,2,1,1,1,1
14,1,24,critical_account/other_credits_existing_not_at_this_bank,car_(new),1199,1,4,4,male_single,male,none,4,car_or_other,60,none,own,2,1,1,0,1,0
15,1,15,existing_credits_paid_back_duly_till_now,car_(new),1403,1,2,2,female_divorced/separated/married,female,none,4,car_or_other,28,none,rent,1,2,1,0,1,1
16,1,24,existing_credits_paid_back_duly_till_now,radio/television,1282,2,2,4,female_divorced/separated/married,female,none,2,car_or_other,32,none,own,1,1,1,0,1,0
17,0,24,critical_account/other_credits_existing_not_at_this_bank,radio/television,2424,0,4,4,male_single,male,none,4,building_society_savings_agreement/life_insurance,53,none,own,2,2,1,0,1,1
18,1,30,no_credits_taken/all_credits_paid_back_duly,business,8072,0,1,2,male_single,male,none,3,car_or_other,25,bank,own,3,2,1,0,1,1
19,2,24,existing_credits_paid_back_duly_till_now,car_(used),12579,1,4,4,female_divorced/separated/married,female,none,2,unknown/no_property,44,none,for free,1,3,1,1,1,0
20,0,24,existing_credits_paid_back_duly_till_now,radio/television,3430,3,4,3,male_single,male,none,2,car_or_other,31,none,own,1,2,2,1,1,1
21,0,9,critical_account/other_credits_existing_not_at_this_bank,car_(new),2134,1,2,4,male_single,male,none,4,car_or_other,48,none,own,3,2,1,1,1,1
22,1,6,existing_credits_paid_back_duly_till_now,radio/television,2647,3,2,2,male_single,male,none,3,real_estate,44,none,rent,1,2,2,0,1,1
23,1,10,critical_account/other_credits_existing_not_at_this_bank,car_(new),2241,1,1,1,male_single,male,none,3,real_estate,48,none,rent,2,1,2,0,0,1
24,2,12,critical_account/other_credits_existing_not_at_this_bank,car_(used),1804,2,1,3,male_single,male,none,4,building_society_savings_agreement/life_insurance,44,none,own,1,2,1,0,1,1
25,0,10,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,2069,0,2,2,male_married/widowed,male,none,1,car_or_other,26,none,own,2,2,1,0,0,1
26,1,6,existing_credits_paid_back_duly_till_now,furniture/equipment,1374,1,2,1,male_single,male,none,2,real_estate,36,bank,own,1,1,1,1,1,1
27,0,6,no_credits_taken/all_credits_paid_back_duly,radio/television,426,1,4,4,male_married/widowed,male,none,4,car_or_other,39,none,own,1,1,1,0,1,1
28,3,12,all_credits_at_this_bank_paid_back_duly,radio/television,409,4,2,3,female_divorced/separated/married,female,none,3,real_estate,42,none,rent,2,2,1,0,1,1
29,2,7,existing_credits_paid_back_duly_till_now,radio/television,2415,1,2,3,male_single,male,guarantor,2,real_estate,34,none,own,1,2,1,0,1,1
30,1,60,delay_in_paying_off_in_the_past,business,6836,1,4,3,male_single,male,none,4,unknown/no_property,63,none,own,2,2,1,1,1,0
31,2,18,existing_credits_paid_back_duly_till_now,business,1913,4,1,3,male_married/widowed,male,none,3,real_estate,36,bank,own,1,2,1,1,1,1
32,1,24,existing_credits_paid_back_duly_till_now,furniture/equipment,4020,1,2,2,male_single,male,none,2,car_or_other,27,stores,own,1,2,1,0,1,1
33,2,18,existing_credits_paid_back_duly_till_now,car_(new),5866,2,2,2,male_single,male,none,2,car_or_other,30,none,own,2,2,1,1,1,1
34,0,12,critical_account/other_credits_existing_not_at_this_bank,business,1264,0,4,4,male_single,male,none,4,unknown/no_property,57,none,rent,1,1,1,0,1,1
35,3,12,existing_credits_paid_back_duly_till_now,furniture/equipment,1474,1,1,4,female_divorced/separated/married,female,none,1,building_society_savings_agreement/life_insurance,33,bank,own,1,3,1,1,1,1
36,2,45,critical_account/other_credits_existing_not_at_this_bank,radio/television,4746,1,1,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,25,none,own,2,1,1,0,1,0
37,0,48,critical_account/other_credits_existing_not_at_this_bank,education,6110,1,2,1,male_single,male,none,3,unknown/no_property,31,bank,for free,1,2,1,1,1,1
38,3,18,existing_credits_paid_back_duly_till_now,radio/television,2100,1,2,4,male_single,male,co-applicant,2,real_estate,37,stores,own,1,2,1,0,1,0
39,3,10,existing_credits_paid_back_duly_till_now,domestic_appliances,1225,1,2,2,male_single,male,none,2,car_or_other,37,none,own,1,2,1,1,1,1
40,2,9,existing_credits_paid_back_duly_till_now,radio/television,458,1,2,4,male_single,male,none,3,real_estate,24,none,own,1,2,1,0,1,1
41,0,30,existing_credits_paid_back_duly_till_now,radio/television,2333,3,4,4,male_single,male,none,2,car_or_other,30,bank,own,1,3,1,0,1,1
42,2,12,existing_credits_paid_back_duly_till_now,radio/television,1158,3,2,3,male_divorced/separated,male,none,1,car_or_other,26,none,own,1,2,1,1,1,1
43,2,18,delay_in_paying_off_in_the_past,repairs,6204,1,2,2,male_single,male,none,4,real_estate,44,none,own,1,1,2,1,1,1
44,1,30,critical_account/other_credits_existing_not_at_this_bank,car_(used),6187,2,3,1,male_married/widowed,male,none,4,car_or_other,24,none,rent,2,2,1,0,1,1
